,PLAYER_NAME,TEAM_ABBREVIATION,PIE
440,Wesley Matthews,POR,0.097
304,Matt Barnes,LAL,0.097
39,Ben Uzoh,NJN,0.097
231,John Salmons,MIL,0.097
197,Jared Dudley,PHX,0.097
12,Amir Johnson,TOR,0.097
416,Tiago Splitter,SAS,0.096
161,George Hill,SAS,0.096
362,Richard Hamilton,DET,0.096
205,Jason Richardson,ORL,0.096
130,Dominique Jones,DAL,0.096
426,Trevor Booker,WAS,0.096
249,Kenyon Martin,DEN,0.095
320,Mo Williams,LAC,0.095
303,Marvin Williams,ATL,0.095
49,Brandon Roy,POR,0.095
410,Taj Gibson,CHI,0.094
176,Hedo Turkoglu,ORL,0.094
444,Wilson Chandler,DEN,0.094
312,Michael Beasley,MIN,0.094
318,Mike Harris,HOU,0.094
65,Caron Butler,DAL,0.093
151,Etan Thomas,ATL,0.093
342,Paul George,IND,0.093
330,Nicolas Batum,POR,0.093
132,Dorell Wright,GSW,0.093
274,Leandro Barbosa,TOR,0.093
32,Antonio McDyess,SAS,0.092
59,CJ Miles,UTA,0.092
189,Jamal Crawford,ATL,0.092
148,Eric Maynor,OKC,0.092
300,Marquis Daniels,BOS,0.092
185,JJ Redick,ORL,0.092
435,Vince Carter,PHX,0.092
441,Will Bynum,DET,0.092
168,Grant Hill,PHX,0.092
165,Glen Davis,BOS,0.092
325,Nazr Mohammed,OKC,0.091
227,Joey Dorsey,TOR,0.091
180,Ike Diogu,LAC,0.091
29,Anthony Tolliver,MIN,0.091
437,Von Wafer,BOS,0.09
162,Gerald Henderson,CHA,0.09
208,Jason Thompson,SAC,0.089
166,Goran Dragic,HOU,0.089
262,Kyle Korver,CHI,0.089
375,Rudy Fernandez,POR,0.089
329,Nick Young,WAS,0.089
216,Jeremy Lin,GSW,0.088
391,Shannon Brown,LAL,0.088
98,Daniel Gibson,CLE,0.088
152,Evan Turner,PHI,0.087
34,Arron Afflalo,DEN,0.087
113,DeMar DeRozan,TOR,0.087
111,DeAndre Jordan,LAC,0.087
346,Pooh Jeter,SAC,0.086
255,Keyon Dooling,MIL,0.086
256,Kirk Hinrich,ATL,0.086
305,Matt Bonner,SAS,0.086
60,Carl Landry,NOH,0.085
93,Daequan Cook,OKC,0.085
401,Spencer Hawes,PHI,0.085
160,Gary Neal,SAS,0.085
141,Eddie House,MIA,0.085
340,Patty Mills,POR,0.085
67,Channing Frye,PHX,0.085
213,Jeff Green,BOS,0.084
86,Courtney Lee,HOU,0.084
261,Kwame Brown,CHA,0.083
287,Luther Head,SAC,0.083
409,T.J. Ford,IND,0.083
146,Eric Bledsoe,LAC,0.083
40,Ben Wallace,DET,0.083
443,Willie Warren,LAC,0.082
336,Othyus Jeffers,WAS,0.082
334,Omri Casspi,SAC,0.082
31,Antonio Daniels,PHI,0.082
239,Josh Childress,PHX,0.081
74,Chris Douglas-Roberts,MIL,0.081
390,Shane Battier,MEM,0.081
355,Rashard Lewis,WAS,0.081
306,Matt Carroll,CHA,0.081
209,Jason Williams,MEM,0.081
155,Francisco Garcia,SAC,0.081
385,Sasha Vujacic,NJN,0.08
381,Sam Young,MEM,0.08
448,Zabian Dowdell,PHX,0.08
425,Trevor Ariza,NOH,0.08
108,David Andersen,NOH,0.08
121,Derrick Brown,NYK,0.079
363,Richard Jefferson,SAS,0.079
396,Shelden Williams,NYK,0.079
372,Ronny Turiaf,NYK,0.079
123,Derrick Favors,UTA,0.079
245,Julian Wright,TOR,0.079
177,Henry Walker,NYK,0.079
194,James Johnson,TOR,0.079
421,Tony Battie,PHI,0.079
235,Jordan Crawford,WAS,0.078
4,Al Harrington,DEN,0.078
428,Troy Murphy,BOS,0.078
1,Aaron Brooks,PHX,0.078
302,Martell Webster,MIN,0.078
35,Austin Daye,DET,0.078
129,Dominic McGuire,CHA,0.077
26,Anthony Morrow,NJN,0.077
222,Jodie Meeks,PHI,0.077
33,Armon Johnson,POR,0.077
