,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
196,191.0,Jarace Walker,22.0,IND,PF,51.0,18.0,23.7,3.5,8.7,0.398,1.6,4.4,0.365,1.9,4.3,0.432,0.49,1.6,2.1,0.778,0.5,3.9,4.3,2.0,0.8,0.3,1.6,1.6,10.1,
197,192.0,Zach Collins,28.0,CHI,C,10.0,0.0,18.4,3.7,6.4,0.578,0.9,2.1,0.429,2.8,4.3,0.651,0.648,1.4,2.0,0.7,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,9.7,
198,193.0,Bilal Coulibaly,21.0,WAS,SG,30.0,30.0,26.3,3.2,8.0,0.394,0.9,3.3,0.263,2.3,4.7,0.486,0.448,2.5,3.3,0.765,0.9,3.6,4.6,2.5,1.4,0.9,1.4,2.6,9.7,
199,194.0,Isaiah Joe,26.0,OKC,SG,43.0,2.0,20.7,3.0,7.0,0.434,2.3,5.7,0.398,0.8,1.3,0.586,0.594,1.3,1.6,0.866,0.4,2.0,2.5,1.4,0.6,0.2,0.6,1.7,9.7,
200,195.0,Jakob Poeltl,30.0,TOR,C,21.0,21.0,25.3,4.2,6.0,0.693,0.0,0.0,,4.2,6.0,0.693,0.693,1.3,2.2,0.596,2.7,5.0,7.7,2.1,0.8,0.5,1.6,3.1,9.7,
201,196.0,Landry Shamet,28.0,NYK,SG,26.0,6.0,21.1,3.1,6.9,0.453,2.2,5.0,0.443,0.9,1.8,0.479,0.615,1.3,1.7,0.75,0.5,1.4,1.8,1.3,0.5,0.2,0.5,1.3,9.7,
202,197.0,Ziaire Williams,24.0,BRK,SF,35.0,4.0,22.9,3.1,7.5,0.412,1.6,5.2,0.311,1.5,2.3,0.646,0.521,1.9,2.1,0.88,0.6,1.9,2.5,0.8,1.1,0.5,1.0,2.2,9.7,
203,198.0,Isaiah Collier,21.0,UTA,PG,43.0,8.0,24.4,3.6,7.0,0.505,0.4,1.5,0.292,3.1,5.5,0.563,0.536,2.1,3.0,0.679,0.4,2.1,2.6,7.0,0.9,0.3,2.3,2.3,9.6,
204,199.0,Marcus Smart,31.0,LAL,SG,40.0,33.0,28.3,3.1,7.7,0.405,1.5,4.7,0.323,1.6,3.0,0.533,0.503,1.8,2.1,0.857,0.7,2.3,3.0,2.7,1.3,0.3,1.8,2.7,9.6,
205,200.0,Corey Kispert,26.0,2TM,SF,31.0,8.0,19.7,3.3,7.0,0.468,1.6,4.2,0.374,1.7,2.7,0.612,0.581,1.4,1.7,0.792,0.4,1.9,2.3,1.7,0.5,0.1,0.8,0.9,9.5,
206,200.0,Corey Kispert,26.0,WAS,SF,19.0,2.0,19.5,3.1,6.3,0.496,1.6,4.0,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,9.2,
207,200.0,Corey Kispert,26.0,ATL,SF,12.0,6.0,20.2,3.5,8.1,0.433,1.6,4.6,0.345,1.9,3.5,0.548,0.531,1.3,1.6,0.842,0.4,1.8,2.2,1.7,0.5,0.1,0.8,0.7,9.9,
208,201.0,Kyle Filipowski,22.0,UTA,C,50.0,17.0,22.3,3.6,7.4,0.482,0.8,2.5,0.333,2.7,4.9,0.559,0.539,1.5,2.2,0.694,1.7,4.8,6.4,2.1,0.8,0.4,1.3,2.9,9.5,
209,202.0,T.J. McConnell,33.0,IND,PG,37.0,0.0,17.1,4.4,8.4,0.526,0.3,1.0,0.324,4.1,7.4,0.553,0.545,0.4,0.4,0.933,0.5,1.8,2.2,4.8,1.2,0.2,1.2,1.2,9.5,
