,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
114,99.0,Jaime Jaquez Jr.,24.0,MIA,SF,56.0,1.0,28.6,6.1,12.1,0.504,0.5,2.0,0.257,5.6,10.1,0.554,0.526,2.3,3.1,0.749,1.3,4.0,5.3,4.6,0.8,0.3,2.2,1.9,15.0,
115,100.0,Peyton Watson,23.0,DEN,SF,49.0,39.0,30.7,5.4,10.9,0.496,1.5,3.7,0.417,3.9,7.2,0.537,0.567,2.6,3.6,0.727,0.9,4.0,4.9,2.0,1.0,1.2,1.8,2.5,14.9,
116,101.0,Kyshawn George,22.0,WAS,SF,47.0,47.0,29.1,5.3,12.0,0.44,2.0,5.4,0.378,3.2,6.6,0.49,0.525,2.2,2.7,0.803,0.9,4.3,5.2,4.5,1.0,0.9,2.7,3.6,14.8,
117,102.0,Ayo Dosunmu,26.0,2TM,SG,53.0,10.0,26.3,5.4,10.5,0.513,1.8,4.1,0.443,3.6,6.4,0.559,0.601,1.8,2.1,0.858,0.7,2.2,2.8,3.5,0.8,0.2,1.3,1.8,14.5,
118,102.0,Ayo Dosunmu,26.0,CHI,SG,45.0,10.0,26.4,5.6,10.8,0.514,1.9,4.3,0.451,3.6,6.5,0.556,0.604,2.0,2.3,0.857,0.7,2.3,3.0,3.6,0.8,0.3,1.4,1.7,15.0,
119,102.0,Ayo Dosunmu,26.0,MIN,SG,8.0,0.0,25.9,4.5,8.9,0.507,1.3,3.3,0.385,3.3,5.6,0.578,0.577,0.9,1.0,0.875,0.3,1.6,1.9,2.8,1.0,0.1,0.9,1.9,11.1,
120,103.0,Walker Kessler,24.0,UTA,C,5.0,5.0,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4.0,5.8,0.69,0.784,2.8,4.0,0.7,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,14.4,
121,104.0,Devin Vassell,25.0,SAS,SG,47.0,45.0,30.7,5.2,11.9,0.44,2.5,6.6,0.381,2.7,5.2,0.514,0.547,1.5,1.8,0.824,0.6,3.3,3.9,2.4,0.8,0.4,1.0,1.7,14.4,
122,105.0,Ivica Zubac,28.0,LAC,C,43.0,42.0,30.9,6.1,10.0,0.613,0.0,0.0,,6.1,10.0,0.613,0.613,2.2,3.1,0.705,3.4,7.6,11.0,2.2,0.4,0.8,1.9,2.4,14.4,
123,106.0,Anfernee Simons,26.0,2TM,SG,55.0,5.0,24.9,5.2,11.8,0.44,2.7,6.9,0.385,2.5,4.9,0.517,0.552,1.3,1.4,0.896,0.6,1.9,2.5,2.4,0.5,0.1,1.2,1.7,14.3,
124,106.0,Anfernee Simons,26.0,BOS,SG,49.0,0.0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,
