,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
204,166.0,Charles Johnson,27.0,GSW,PG,79.0,,15.1,3.2,7.4,0.437,0.6,0.9,0.71,0.6,1.2,1.8,1.2,1.0,0.1,1.7,7.1,
205,167.0,Bo Lamar,25.0,LAL,PG,71.0,,16.4,3.2,7.9,0.406,0.6,1.0,0.676,0.4,0.9,1.3,2.5,0.8,0.0,1.0,7.1,
206,168.0,Freddie Lewis,33.0,IND,PG,32.0,4.0,17.3,2.5,6.2,0.407,1.9,2.4,0.805,0.5,0.9,1.5,1.8,0.6,0.1,1.8,7.0,
207,169.0,Al Eberhard,24.0,DET,SF,68.0,,17.9,2.7,5.6,0.476,1.6,2.0,0.79,1.1,2.1,3.3,0.7,0.7,0.2,2.9,6.9,
208,170.0,Kevin Grevey,23.0,WSB,SF,76.0,,17.2,2.9,7.0,0.423,1.0,1.6,0.664,1.0,1.4,2.3,0.9,0.4,0.1,1.9,6.9,
209,171.0,Rich Kelley,23.0,NOJ,C,76.0,,19.8,2.4,5.1,0.477,2.1,2.6,0.792,2.8,5.0,7.7,2.7,0.6,0.8,3.2,6.9,
210,172.0,Jack Marin,32.0,CHI,SF,54.0,,16.1,3.1,6.6,0.465,0.6,0.7,0.795,0.5,1.2,1.7,1.1,0.2,0.1,1.6,6.8,
211,173.0,Lloyd Neal,26.0,POR,PF,58.0,,16.5,2.8,5.9,0.471,1.3,2.0,0.675,1.5,2.9,4.4,1.0,0.1,0.6,2.6,6.8,
212,174.0,Bud Stallworth,27.0,NOJ,SF,40.0,,13.2,3.2,6.8,0.463,0.4,0.7,0.586,0.5,1.3,1.8,0.6,0.5,0.3,1.9,6.7,
213,175.0,Marvin Webster,24.0,DEN,C,80.0,,16.0,2.5,5.0,0.495,1.8,2.8,0.65,1.9,4.2,6.1,0.8,0.3,1.5,1.9,6.7,
214,176.0,Bob Wilkerson,22.0,SEA,SF,78.0,,19.9,2.8,7.3,0.386,1.1,1.6,0.689,1.2,2.1,3.3,2.2,0.9,0.1,1.7,6.7,
215,177.0,Louie Dampier,32.0,SAS,PG,80.0,,20.4,2.9,6.3,0.46,0.8,1.1,0.744,0.3,0.7,1.0,2.9,0.6,0.2,1.2,6.6,
216,178.0,Ollie Johnson,27.0,KCK,SF,81.0,,17.1,2.7,5.5,0.489,1.2,1.4,0.878,0.8,1.8,2.6,1.3,0.5,0.3,2.1,6.6,
217,179.0,Jim Fox,33.0,NYN,C,71.0,,16.4,2.6,5.6,0.462,1.3,1.6,0.833,1.4,3.2,4.6,0.7,0.3,0.4,2.2,6.5,
218,180.0,Foots Walker,25.0,CLE,PG,62.0,18.0,19.6,2.5,5.6,0.45,1.4,1.9,0.774,0.9,1.7,2.6,4.1,1.3,0.1,2.0,6.5,
219,181.0,Tom Boswell,23.0,BOS,PF,70.0,,15.5,2.5,4.9,0.515,1.4,1.9,0.711,1.6,2.8,4.4,1.2,0.4,0.1,3.4,6.4,
220,182.0,Keith Erickson,32.0,PHO,SF,50.0,,19.0,2.8,5.9,0.483,0.7,1.0,0.74,0.7,2.2,2.9,2.1,0.6,0.1,2.4,6.4,
221,183.0,Steve Green,23.0,IND,SF,70.0,1.0,13.1,2.6,6.1,0.432,1.2,1.6,0.743,1.1,1.4,2.5,0.7,0.7,0.2,2.2,6.4,
222,184.0,Tom Abernethy,22.0,LAL,SF,70.0,,19.7,2.4,5.0,0.484,1.4,1.9,0.754,1.6,2.5,4.2,1.4,0.7,0.1,1.7,6.3,
223,185.0,Larry McNeill,26.0,2TM,PF,24.0,,9.6,2.0,4.7,0.42,2.2,2.5,0.852,1.2,2.0,3.1,0.3,0.4,0.1,1.3,6.1,
224,185.0,Larry McNeill,26.0,NYN,PF,8.0,,11.6,2.3,6.4,0.353,3.0,3.8,0.8,1.3,2.0,3.3,0.4,0.5,0.1,1.6,7.5,
225,185.0,Larry McNeill,26.0,GSW,PF,16.0,,8.6,1.8,3.8,0.475,1.8,1.9,0.903,1.1,1.9,3.1,0.2,0.4,0.1,1.2,5.4,
226,186.0,Don Chaney,30.0,LAL,SG,81.0,,29.7,2.6,6.4,0.408,0.9,1.2,0.745,1.5,2.6,4.1,3.8,1.7,0.4,2.8,6.1,DEF2
227,187.0,Johnny Neumann,25.0,2TM,SG,63.0,,14.9,2.6,6.3,0.406,0.9,1.4,0.678,0.4,0.8,1.1,2.2,0.5,0.2,2.1,6.0,
228,187.0,Johnny Neumann,25.0,BUF,SG,4.0,,12.3,3.8,8.5,0.441,1.3,1.5,0.833,1.3,1.0,2.3,1.0,0.8,0.5,1.8,8.8,
229,187.0,Johnny Neumann,25.0,LAL,SG,59.0,,15.1,2.5,6.2,0.402,0.9,1.4,0.667,0.3,0.7,1.1,2.3,0.5,0.1,2.2,5.9,
230,188.0,George Johnson,28.0,2TM,C,78.0,,21.2,2.5,5.5,0.462,0.9,1.3,0.724,2.6,5.2,7.8,1.3,0.5,2.3,3.2,6.0,
231,188.0,George Johnson,28.0,GSW,C,39.0,,15.3,1.9,3.8,0.487,0.6,0.8,0.806,2.2,3.2,5.4,0.7,0.4,1.9,2.7,4.4,
232,188.0,George Johnson,28.0,BUF,C,39.0,,27.1,3.2,7.2,0.448,1.2,1.7,0.687,3.0,7.3,10.3,2.0,0.6,2.7,3.6,7.6,
233,189.0,Jim Eakins,30.0,KCK,C,82.0,,16.3,1.8,4.1,0.449,2.3,2.7,0.847,1.4,3.0,4.4,1.5,0.4,0.6,2.4,6.0,
234,190.0,Armond Hill,23.0,ATL,PG,81.0,,22.5,2.2,5.4,0.399,1.7,2.1,0.799,0.5,1.3,1.8,5.0,1.0,0.1,3.0,6.0,
235,191.0,Caldwell Jones,26.0,PHI,C,82.0,57.0,24.7,2.6,5.2,0.507,0.8,1.4,0.552,2.3,5.8,8.1,1.1,0.5,2.4,3.7,6.0,
236,192.0,Dean Tolson,25.0,SEA,PF,60.0,,9.8,2.3,4.0,0.566,1.4,2.7,0.535,1.2,1.4,2.6,0.5,0.5,0.4,1.4,6.0,
237,193.0,Dwight Jones,24.0,HOU,PF,74.0,,16.7,2.3,4.6,0.494,1.4,1.7,0.802,1.3,2.5,3.8,0.6,0.5,0.3,2.4,5.9,
238,194.0,Otto Moore,30.0,NOJ,C,81.0,,25.7,2.4,5.9,0.405,1.1,1.7,0.679,2.1,5.8,7.9,2.2,0.7,1.4,2.9,5.9,
