,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
494,479.0,Garrett Temple,39.0,TOR,SG,13.0,0.0,36.0,2.1,0.254,0.714,0.286,0.0,12.6,6.2,13.2,4.1,2.7,27.6,12.9,-0.1,0.1,-0.1,-0.085,-9.1,2.2,-6.9,0.0,
495,480.0,Jahmir Young,25.0,MIA,PG,7.0,0.0,36.0,9.1,0.486,0.4,0.067,2.8,5.7,4.3,22.5,1.3,0.0,11.5,19.6,0.0,0.0,0.0,0.029,-4.6,-0.8,-5.4,0.0,
496,481.0,Ron Harper Jr.,25.0,BOS,SF,7.0,0.0,35.0,12.4,0.406,0.75,0.0,9.5,9.4,9.4,15.3,1.4,8.7,5.9,21.0,0.0,0.0,0.0,0.054,-1.3,0.2,-1.1,0.0,
497,482.0,Tyson Etienne,26.0,BRK,PG,8.0,0.0,34.0,-1.2,0.4,0.867,0.0,0.0,0.0,0.0,4.4,0.0,0.0,6.3,20.5,-0.1,0.0,-0.1,-0.137,-8.9,-5.7,-14.6,-0.1,
498,483.0,Mac McClung,27.0,IND,SG,3.0,0.0,34.0,13.1,0.481,0.556,0.222,0.0,13.1,6.3,4.7,7.0,2.5,9.2,27.0,-0.1,0.1,0.0,-0.002,-5.6,6.2,0.6,0.0,
499,484.0,Emanuel Miller,25.0,CHI,PF,5.0,0.0,33.0,15.2,0.54,0.462,0.154,3.3,6.3,4.9,17.2,2.9,0.0,0.0,17.7,0.1,0.0,0.1,0.113,1.6,0.9,2.5,0.0,
500,485.0,Jahmyl Telfort,24.0,LAC,PF,8.0,0.0,32.0,-5.4,0.087,1.0,1.0,0.0,10.6,5.5,3.8,1.6,0.0,14.8,9.4,-0.1,0.0,-0.1,-0.168,-12.1,-1.8,-14.0,-0.1,
501,486.0,Seth Curry,35.0,GSW,SG,2.0,0.0,32.0,18.7,0.778,0.444,0.0,3.4,10.4,6.9,14.1,3.0,0.0,0.0,11.9,0.1,0.0,0.1,0.225,1.5,3.8,5.3,0.1,
502,487.0,Curtis Jones,24.0,DEN,SG,6.0,0.0,31.0,1.4,0.321,0.643,0.0,3.9,13.9,9.1,12.8,0.0,0.0,6.7,21.3,-0.1,0.0,-0.1,-0.142,-9.7,-5.9,-15.5,-0.1,
503,488.0,Charles Bassey,25.0,MEM,C,2.0,0.0,31.0,12.7,0.376,0.0,0.375,24.1,27.2,25.7,8.4,1.5,3.0,9.7,13.7,0.0,0.0,0.1,0.085,-3.0,-1.1,-4.1,0.0,
504,489.0,Hunter Sallis,22.0,PHI,SG,7.0,0.0,26.0,2.0,0.595,0.0,0.4,0.0,4.3,2.1,20.9,0.0,3.5,46.0,17.7,-0.1,0.0,-0.1,-0.145,-7.6,-3.0,-10.7,-0.1,
505,490.0,Mark Sears,23.0,MIL,PG,7.0,0.0,26.0,15.2,0.666,0.615,0.615,4.4,4.3,4.3,12.4,0.0,0.0,19.5,34.9,0.0,0.0,0.0,0.02,2.3,-4.5,-2.2,0.0,
506,491.0,Jahmai Mashack,23.0,MEM,SG,7.0,0.0,25.0,0.7,0.375,0.75,0.0,0.0,21.1,10.6,10.2,1.9,0.0,27.3,18.2,-0.1,0.0,-0.1,-0.145,-9.4,-1.0,-10.4,-0.1,
507,492.0,Orlando Robinson,25.0,ORL,C,4.0,1.0,25.0,14.7,0.7,0.4,0.0,8.7,9.0,8.9,16.4,1.9,0.0,0.0,8.4,0.1,0.0,0.1,0.19,0.5,0.5,1.0,0.0,
508,493.0,DeAndre Jordan,37.0,NOP,C,2.0,1.0,23.0,18.3,0.765,0.0,0.4,18.3,29.0,23.5,0.0,0.0,0.0,14.5,12.4,0.1,0.0,0.1,0.144,2.0,-2.7,-0.7,0.0,
509,494.0,Isaiah Stevens,25.0,SAC,PG,2.0,0.0,23.0,19.0,0.532,0.0,2.0,4.8,5.0,4.9,30.8,6.3,0.0,0.0,7.0,0.1,0.0,0.1,0.21,0.9,5.0,5.9,0.0,
510,495.0,TyTy Washington Jr.,24.0,LAC,PG,2.0,0.0,22.0,30.0,0.778,0.444,0.0,0.0,5.1,2.7,24.9,4.6,4.3,0.0,18.2,0.1,0.0,0.1,0.309,9.1,4.6,13.7,0.1,
511,496.0,Malevy Leons,26.0,GSW,SF,5.0,0.0,21.0,10.9,0.436,0.333,0.333,10.4,36.9,23.5,6.3,2.3,4.3,22.5,17.8,0.0,0.0,0.0,0.013,-4.8,1.2,-3.5,0.0,
512,497.0,Brandon Clarke,29.0,MEM,PF,2.0,2.0,20.0,12.3,0.372,0.0,0.444,21.3,10.6,15.9,7.0,4.7,0.0,0.0,22.2,0.0,0.0,0.0,0.061,-4.7,0.2,-4.4,0.0,
513,498.0,Isaac Jones,25.0,2TM,PF,4.0,1.0,18.0,7.3,0.512,0.5,0.5,12.2,0.0,6.2,7.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.071,-6.2,-2.3,-8.5,0.0,
514,498.0,Isaac Jones,25.0,SAC,PF,3.0,1.0,17.0,5.7,0.521,0.5,1.0,13.0,0.0,6.6,7.5,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.062,-6.4,-1.8,-8.3,0.0,
515,498.0,Isaac Jones,25.0,DET,PF,1.0,0.0,1.0,34.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,0.0,0.0,0.0,0.216,-2.6,-9.9,-12.5,0.0,
516,499.0,Jacob Toppin,25.0,ATL,SF,5.0,0.0,17.0,15.1,0.667,0.0,0.0,0.0,6.4,3.2,8.9,0.0,5.3,0.0,14.8,0.0,0.0,0.0,0.115,-0.2,0.3,0.0,0.0,
517,500.0,Chris Livingston,22.0,CLE,SF,3.0,0.0,17.0,15.3,0.605,0.429,0.143,0.0,19.3,9.6,8.8,2.8,0.0,0.0,18.1,0.0,0.0,0.1,0.165,-4.8,2.0,-2.8,0.0,
518,501.0,N'Faly Dante,24.0,ATL,C,4.0,0.0,15.0,12.4,0.338,0.0,0.25,21.4,29.2,25.3,0.0,6.3,0.0,18.4,15.2,0.0,0.0,0.0,0.041,-3.9,-1.1,-5.0,0.0,
519,502.0,Oscar Tshiebwe,26.0,UTA,C,1.0,0.0,15.0,7.3,0.225,0.0,0.25,14.4,29.7,21.9,8.3,3.1,0.0,0.0,12.2,0.0,0.0,0.0,-0.029,-4.0,-1.7,-5.7,0.0,
520,503.0,Chris Mañon,24.0,LAL,SG,4.0,0.0,14.0,7.3,0.0,1.0,0.0,8.6,16.2,12.5,0.0,3.5,13.5,0.0,3.1,0.0,0.0,0.0,0.067,-5.7,5.0,-0.7,0.0,
521,504.0,Dillon Jones,24.0,NYK,SF,3.0,0.0,14.0,10.9,0.5,0.667,0.0,7.6,15.9,11.7,8.7,3.5,0.0,0.0,9.0,0.0,0.0,0.0,0.148,-2.4,2.5,0.1,0.0,
