,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
93,80.0,Bob Gross,24.0,POR,SF,72.0,,2163.0,16.9,0.569,0.264,8.9,10.4,9.6,16.2,2.1,1.3,18.2,18.0,4.0,3.1,7.1,0.158,2.1,1.1,3.2,2.9,DEF2
94,81.0,Billy Knight,25.0,BUF,SF,53.0,,2155.0,18.7,0.558,0.402,6.3,12.7,9.5,11.5,1.8,0.3,13.3,23.3,4.7,1.3,6.0,0.133,2.5,-0.9,1.6,2.0,AS
95,82.0,Kevin Kunnert,26.0,HOU,C,80.0,,2152.0,13.6,0.46,0.16,12.6,21.9,17.1,6.2,1.0,2.2,13.5,19.3,1.2,1.4,2.6,0.058,-1.4,-1.3,-2.8,-0.4,
96,83.0,Lucius Allen,30.0,KCK,PG,77.0,,2147.0,13.3,0.488,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,0.7,1.4,2.1,0.046,-0.3,-0.7,-1.0,0.6,
97,84.0,Sam Lacey,29.0,KCK,C,77.0,,2131.0,15.2,0.494,0.317,7.4,23.5,15.4,18.0,2.5,2.7,21.7,15.3,1.0,3.4,4.3,0.098,0.2,2.8,3.0,2.7,
98,85.0,Kevin Grevey,24.0,WSB,SF,81.0,,2121.0,15.5,0.496,0.273,5.8,7.8,6.8,11.0,1.3,0.4,11.2,25.2,2.9,1.5,4.4,0.099,0.4,-1.0,-0.6,0.8,
99,86.0,Rich Kelley,24.0,NOJ,C,82.0,,2119.0,17.8,0.571,0.48,11.5,22.8,17.2,14.5,1.9,3.0,23.6,17.1,2.8,3.7,6.4,0.146,0.3,2.4,2.6,2.5,
100,87.0,Maurice Lucas,25.0,POR,PF,68.0,,2119.0,17.3,0.502,0.273,9.3,20.9,15.3,11.9,1.3,1.4,14.8,24.2,2.2,3.5,5.8,0.131,0.7,-0.1,0.6,1.4,"MVP-6,AS,NBA2,DEF1"
101,88.0,Aaron James,25.0,NOJ,SF,80.0,,2118.0,13.3,0.523,0.182,7.5,11.5,9.5,7.6,0.8,0.5,12.3,19.0,2.7,1.5,4.3,0.096,-0.7,-1.0,-1.7,0.1,
102,89.0,Moses Malone,22.0,HOU,C,59.0,,2107.0,21.2,0.559,0.535,18.6,26.2,22.3,2.1,1.1,1.9,17.7,23.5,4.4,1.7,6.1,0.139,2.4,-2.6,-0.2,1.0,AS
