,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
99,94.0,Mickey Johnson,28.0,MIL,PF,82.0,82.0,2118.0,16.3,0.516,0.021,0.392,9.8,18.4,14.2,17.7,2.1,1.9,18.8,22.6,1.6,3.7,5.3,0.121,0.3,1.1,1.4,1.8,
100,95.0,Dave Robisch,31.0,2TM,C,84.0,,2116.0,14.1,0.507,0.0,0.334,7.5,17.2,12.2,10.4,0.8,0.8,8.9,16.5,3.2,0.9,4.2,0.095,0.6,-1.1,-0.5,0.8,
101,95.0,Dave Robisch,31.0,CLE,C,11.0,,372.0,12.5,0.452,0.0,0.367,7.6,18.1,12.6,14.8,0.9,0.9,11.0,13.8,0.3,0.2,0.6,0.072,0.2,-0.1,0.2,0.2,
102,95.0,Dave Robisch,31.0,DEN,C,73.0,,1744.0,14.4,0.515,0.0,0.329,7.4,17.0,12.1,9.5,0.8,0.8,8.6,17.1,2.9,0.7,3.6,0.1,0.7,-1.3,-0.7,0.6,
103,96.0,Calvin Natt,24.0,POR,SF,74.0,,2111.0,14.8,0.541,0.01,0.356,7.7,14.6,11.1,10.0,1.6,0.5,15.1,20.3,2.2,2.0,4.2,0.095,0.1,-0.9,-0.8,0.7,
104,97.0,Darryl Dawkins,24.0,PHI,C,76.0,76.0,2088.0,15.9,0.641,0.0,0.436,6.0,21.4,14.2,7.3,0.8,3.0,20.9,20.3,2.2,4.1,6.3,0.145,-1.3,1.3,0.1,1.1,
105,98.0,John Drew,26.0,ATL,SF,67.0,,2075.0,19.2,0.539,0.006,0.526,7.9,13.3,10.6,6.5,2.3,0.4,12.6,30.9,3.5,1.9,5.4,0.124,1.0,-1.3,-0.3,0.9,
106,99.0,James Silas,31.0,SAS,PG,75.0,,2055.0,19.4,0.557,0.002,0.441,2.4,9.5,6.1,20.7,1.2,0.3,11.8,26.1,5.7,1.3,7.0,0.164,2.6,-1.6,1.0,1.6,MVP-24
107,100.0,Alvan Adams,26.0,PHO,C,75.0,,2054.0,20.3,0.567,0.0,0.298,8.6,20.5,14.7,24.5,2.4,1.9,18.7,23.0,3.3,4.5,7.7,0.18,2.5,2.6,5.1,3.7,
108,101.0,Bobby Jones,29.0,PHI,PF,81.0,0.0,2046.0,20.1,0.604,0.004,0.46,8.2,14.6,11.6,15.4,2.2,2.0,14.1,20.8,5.4,3.9,9.2,0.217,2.7,2.0,4.7,3.5,"MVP-24,AS,DEF1"
109,102.0,Wes Unseld,34.0,WSB,C,63.0,,2032.0,13.5,0.543,0.009,0.2,10.6,24.3,17.4,10.6,1.2,1.0,17.2,11.1,2.1,3.4,5.5,0.13,0.0,1.8,1.7,1.9,
110,103.0,Bill Robinzine,28.0,2TM,PF,78.0,,2016.0,14.8,0.528,0.007,0.34,9.1,21.4,15.0,9.5,1.8,0.3,16.5,23.5,0.7,1.5,2.3,0.054,-1.2,-1.2,-2.4,-0.2,
111,103.0,Bill Robinzine,28.0,CLE,PF,8.0,,84.0,6.0,0.465,0.0,0.25,5.0,12.5,8.6,8.1,2.3,0.0,22.0,21.8,-0.2,0.1,-0.1,-0.057,-5.1,-0.3,-5.4,-0.1,
112,103.0,Bill Robinzine,28.0,DAL,PF,70.0,,1932.0,15.2,0.531,0.008,0.344,9.3,21.8,15.3,9.5,1.8,0.3,16.2,23.6,0.9,1.5,2.4,0.059,-1.1,-1.2,-2.2,-0.1,
