,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
292,Obi Toppin,Indiana Pacers,8.0,12.9,0.8,0.406,11.3,0.468,0.0,-3.4,-0.1,0.2344,64.0,2026
293,Robert Williams,Portland Trail Blazers,45.0,14.7,2.2,0.761,23.3,0.758,3.4,5.3,1.4,0.4769,65.0,2026
294,Javonte Green,Detroit Pistons,63.0,10.3,1.5,0.537,12.9,0.583,3.2,0.9,0.8,0.7143,63.0,2026
295,Luke Kornet,San Antonio Spurs,54.0,15.0,1.5,0.653,18.4,0.695,5.6,3.7,1.7,0.7344,64.0,2026
296,Jamal Shead,Toronto Raptors,63.0,14.0,1.1,0.453,10.7,0.492,2.0,-2.2,-0.1,0.5714,63.0,2026
297,Cole Anthony,Milwaukee Bucks,35.0,12.7,0.9,0.472,10.8,0.483,-0.4,-4.8,-0.4,0.4286,63.0,2026
298,Kenrich Williams,Oklahoma City Thunder,44.0,11.4,0.6,0.587,14.5,0.599,2.1,1.0,0.5,0.7692,65.0,2026
299,Andre Drummond,Philadelphia 76ers,48.0,16.1,1.4,0.529,16.5,0.549,2.6,-1.1,0.2,0.5397,63.0,2026
300,Kevin Love,Utah Jazz,34.0,14.3,0.7,0.522,14.3,0.556,1.0,-0.3,0.2,0.2969,64.0,2026
301,Taylor Hendricks,Memphis Grizzlies,45.0,10.8,1.0,0.563,11.6,0.577,0.8,-3.0,-0.2,0.371,62.0,2026
302,Jamaree Bouyea,Phoenix Suns,33.0,10.2,1.2,0.534,14.8,0.553,1.2,1.1,0.4,0.5781,64.0,2026
303,Ryan Nembhard,Dallas Mavericks,43.0,13.0,0.3,0.493,10.6,0.505,0.4,-4.1,-0.4,0.3281,64.0,2026
304,Ja'Kobe Walter,Toronto Raptors,53.0,9.9,1.2,0.53,10.4,0.565,2.0,-1.6,0.1,0.5714,63.0,2026
305,Alex Caruso,Oklahoma City Thunder,43.0,11.1,1.7,0.519,13.2,0.544,2.0,2.1,0.8,0.7692,65.0,2026
306,Pat Spencer,Golden State Warriors,47.0,12.0,0.8,0.496,12.4,0.521,1.2,-1.5,0.1,0.5079,63.0,2026
307,Isaiah Jackson,Los Angeles Clippers,44.0,12.4,1.5,0.597,16.0,0.621,1.7,-2.2,0.0,0.4921,63.0,2026
