,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
343,Jerome Robinson,Washington Wizards,63.0,8.5,0.7,0.45,7.4,0.476,0.2,-3.9,-0.5,0.3472,72.0,0,0.875,2020
351,Isaac Bonga,Washington Wizards,66.0,9.6,1.0,0.558,10.2,0.608,1.8,-2.8,-0.3,0.3472,72.0,0,0.9167,2020
352,Vince Carter,Atlanta Hawks,60.0,7.9,0.8,0.452,7.5,0.47,-0.2,-4.3,-0.5,0.2985,67.0,0,0.8955,2020
355,Tony Bradley,Utah Jazz,58.0,9.9,0.8,0.675,21.7,0.681,3.3,1.3,0.6,0.6111,72.0,0,0.8056,2020
356,Jevon Carter,Phoenix Suns,58.0,8.3,1.1,0.543,11.3,0.563,1.8,0.6,0.6,0.4658,73.0,0,0.7945,2020
360,Patrick Patterson,Los Angeles Clippers,59.0,8.2,0.2,0.552,11.5,0.58,1.9,0.3,0.5,0.6806,72.0,0,0.8194,2020
369,Thon Maker,Detroit Pistons,60.0,8.2,1.1,0.539,13.7,0.582,1.5,-1.4,0.1,0.303,66.0,0,0.9091,2020
370,Matisse Thybulle,Philadelphia 76ers,65.0,7.5,2.1,0.528,10.0,0.539,2.3,0.3,0.8,0.589,73.0,0,0.8904,2020
378,Ryan Arcidiacono,Chicago Bulls,58.0,8.1,0.6,0.532,9.0,0.551,1.4,-2.8,-0.2,0.3385,65.0,0,0.8923,2020
381,Treveon Graham,Atlanta Hawks,55.0,7.9,0.5,0.428,6.6,0.456,0.2,-5.6,-0.8,0.2985,67.0,0,0.8209,2020
390,Bruno Fernando,Atlanta Hawks,56.0,8.7,0.6,0.53,11.9,0.542,0.8,-4.1,-0.4,0.2985,67.0,0,0.8358,2020
417,Semi Ojeleye,Boston Celtics,69.0,6.0,0.4,0.531,7.7,0.562,1.9,-1.7,0.1,0.6667,72.0,0,0.9583,2020
419,Grant Williams,Boston Celtics,69.0,7.0,0.9,0.469,7.9,0.505,1.6,-2.7,-0.2,0.6667,72.0,0,0.9583,2020
430,Matthew Dellavedova,Cleveland Cavaliers,57.0,7.6,0.4,0.414,8.1,0.463,0.2,-5.2,-0.7,0.2923,65.0,0,0.8769,2020
