,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
87,Vern Fleming,Indiana Pacers,82.0,25.6,1.2,0.515,2876.0,16.3,0.561,6.7,0.8,2.0,0.5122,82.0,0,1.0,1990
88,Thurl Bailey,Utah Jazz,82.0,20.9,1.6,0.481,2583.0,13.4,0.527,4.6,-1.2,0.5,0.6707,82.0,0,1.0,1990
89,Alvin Robertson,Milwaukee Bucks,81.0,26.6,2.8,0.505,2599.0,18.9,0.542,7.5,3.7,3.7,0.5366,82.0,0,0.9878,1990
90,Mark Aguirre,Detroit Pistons,78.0,19.9,0.6,0.505,2005.0,15.8,0.544,5.7,1.0,1.5,0.7195,82.0,0,0.9512,1990
91,Jack Sikma,Milwaukee Bucks,71.0,24.0,1.8,0.457,2250.0,14.7,0.524,5.0,0.6,1.5,0.5366,82.0,0,0.8659,1990
92,Mike Gminski,Philadelphia 76ers,81.0,23.8,1.8,0.459,2659.0,15.7,0.503,6.0,0.0,1.4,0.6463,82.0,0,0.9878,1990
93,Craig Ehlo,Cleveland Cavaliers,81.0,23.6,1.9,0.519,2894.0,14.5,0.539,6.5,1.1,2.3,0.5122,82.0,0,0.9878,1990
94,Glen Rice,Miami Heat,77.0,20.0,1.3,0.447,2311.0,11.3,0.466,1.4,-3.2,-0.7,0.2195,82.0,0,0.939,1990
95,Buck Williams,Portland Trail Blazers,82.0,24.8,1.3,0.548,2801.0,14.3,0.597,8.7,0.7,1.9,0.7195,82.0,0.005,1.0,1990
96,Benoit Benjamin,Los Angeles Clippers,71.0,25.0,3.4,0.526,2313.0,16.7,0.578,5.4,1.6,2.1,0.3659,82.0,0,0.8659,1990
99,Horace Grant,Chicago Bulls,80.0,24.1,2.3,0.523,2753.0,16.6,0.555,8.0,1.1,2.1,0.6707,82.0,0,0.9756,1990
101,Purvis Short,New Jersey Nets,82.0,17.9,1.0,0.46,2213.0,13.4,0.508,3.3,-2.0,0.0,0.2073,82.0,0,1.0,1990
102,A.C. Green,Los Angeles Lakers,82.0,22.7,1.4,0.486,2709.0,14.7,0.548,7.7,-0.6,1.0,0.7683,82.0,0,1.0,1990
103,Johnny Newman,New York Knicks,80.0,17.6,1.5,0.504,2277.0,12.7,0.562,4.5,-1.1,0.5,0.5488,82.0,0,0.9756,1990
105,Sam Mitchell,Minnesota Timberwolves,80.0,19.6,1.5,0.446,2414.0,13.7,0.512,5.1,-2.4,-0.3,0.2683,82.0,0,0.9756,1990
109,Kevin Willis,Atlanta Hawks,81.0,21.1,1.4,0.52,2273.0,15.7,0.551,4.7,-1.7,0.1,0.5,82.0,0,0.9878,1990
111,Sleepy Floyd,Houston Rockets,82.0,21.9,1.2,0.506,2630.0,14.2,0.552,6.3,0.6,1.7,0.5,82.0,0,1.0,1990
112,Bill Laimbeer,Detroit Pistons,81.0,23.8,1.7,0.52,2675.0,15.8,0.564,10.1,3.3,3.6,0.7195,82.0,0,0.9878,1990
114,Kevin Edwards,Miami Heat,78.0,18.8,2.0,0.417,2211.0,11.6,0.451,0.3,-2.1,0.0,0.2195,82.0,0,0.9512,1990
116,Kenny Smith,Atlanta Hawks,79.0,19.5,1.1,0.482,2421.0,13.3,0.526,2.6,-1.7,0.2,0.5,82.0,0,0.9634,1990
117,Ron Anderson,Philadelphia 76ers,78.0,17.5,1.1,0.452,2089.0,13.9,0.499,3.8,-1.4,0.3,0.6463,82.0,0,0.9512,1990
120,Bill Cartwright,Chicago Bulls,71.0,19.9,1.0,0.488,2160.0,12.8,0.562,4.5,-2.5,-0.3,0.6707,82.0,0,0.8659,1990
121,Pooh Richardson,Minnesota Timberwolves,82.0,20.8,1.9,0.473,2581.0,15.8,0.482,4.4,1.4,2.2,0.2683,82.0,0,1.0,1990
125,Dan Majerle,Phoenix Suns,73.0,19.6,1.8,0.438,2244.0,13.5,0.498,5.5,1.3,1.9,0.6585,82.0,0,0.8902,1990
128,Billy Thompson,Miami Heat,79.0,20.1,1.8,0.517,2142.0,14.7,0.536,3.6,-0.2,1.0,0.2195,82.0,0,0.9634,1990
130,Rick Mahorn,Philadelphia 76ers,75.0,19.7,2.0,0.498,2271.0,13.9,0.546,5.3,-0.4,0.9,0.6463,82.0,0,0.9146,1990
131,Rod Strickland,San Antonio Spurs,82.0,19.5,1.7,0.459,2140.0,15.7,0.494,4.3,1.2,1.7,0.6829,82.0,0,1.0,1990
133,Fred Roberts,Milwaukee Bucks,82.0,16.1,1.0,0.497,2235.0,11.6,0.553,3.5,-2.3,-0.1,0.5366,82.0,0,1.0,1990
