,Unnamed: 0,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
36,43,Junior Bridgeman,Milwaukee Bucks,77.0,23.6,1.5,0.489,2215.0,17.1,0.534,6.7,1.1,1.7,0.7317,82.0,0.0,0.939,1981
37,45,Calvin Murphy,Houston Rockets,76.0,20.7,1.6,0.493,2014.0,18.1,0.542,5.4,0.8,1.4,0.4878,82.0,0.0,0.9268,1981
38,47,Michael Ray Richardson,New York Knicks,79.0,31.2,3.3,0.479,3175.0,17.1,0.511,6.9,3.2,4.2,0.6098,82.0,0.01,0.9634,1981
39,48,Campy Russell,New York Knicks,79.0,24.2,1.4,0.468,2865.0,12.9,0.518,4.3,-1.6,0.3,0.6098,82.0,0.0,0.9634,1981
40,49,Purvis Short,Golden State Warriors,79.0,24.2,1.2,0.476,2309.0,17.0,0.509,5.4,0.6,1.5,0.4756,82.0,0.0,0.9634,1981
41,50,Robert Reid,Houston Rockets,82.0,27.2,2.8,0.482,2963.0,16.4,0.522,7.2,2.1,3.0,0.4878,82.0,0.0,1.0,1981
42,52,James Edwards,Indiana Pacers,81.0,25.2,2.0,0.509,2375.0,18.2,0.547,7.0,1.3,2.0,0.5366,82.0,0.0,0.9878,1981
43,54,Greg Ballard,Washington Bullets,82.0,25.0,1.9,0.466,2610.0,16.7,0.5,6.9,2.2,2.8,0.4756,82.0,0.0,1.0,1981
44,56,Kenny Carr,Cleveland Cavaliers,81.0,27.9,1.4,0.511,2615.0,17.0,0.56,5.8,0.0,1.3,0.3415,82.0,0.0,0.9878,1981
45,57,Cedric Maxwell,Boston Celtics,81.0,24.4,1.8,0.588,2730.0,17.6,0.651,11.0,3.5,3.8,0.7561,82.0,0.0,0.9878,1981
46,58,Kelvin Ransey,Portland Trail Blazers,80.0,24.5,1.2,0.453,2431.0,14.9,0.484,2.8,-1.9,0.1,0.5488,82.0,0.016,0.9756,1981
47,59,Alvan Adams,Phoenix Suns,75.0,26.8,2.3,0.526,2054.0,20.3,0.567,7.7,5.1,3.7,0.6951,82.0,0.0,0.9146,1981
48,62,Maurice Lucas,New Jersey Nets,68.0,25.7,1.7,0.484,2162.0,14.6,0.528,3.5,-0.9,0.6,0.2927,82.0,0.0,0.8293,1981
49,63,Randy Smith,Cleveland Cavaliers,82.0,21.4,1.6,0.466,2199.0,17.0,0.514,3.3,0.5,1.4,0.3415,82.0,0.0,1.0,1981
50,64,Phil Hubbard,Detroit Pistons,80.0,23.7,1.3,0.493,2289.0,15.4,0.544,4.5,-1.4,0.3,0.2561,82.0,0.0,0.9756,1981
